League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Ukraine Ukrainian Premier League,2022/2023,2022-11-05 08:00:00,11,Oleksandria,Kolos Kovalivka,4,1,5,"['8', '61', '68', '73']",['53'],2.14,3.0,3.15,2.25,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-05 10:00:00,11,Shakhtar Donetsk,Inhulets,3,0,3,"['18', '69', '90+3']",[],1.22,5.0,9.6,1.7,2.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-05 10:00:00,11,Metalist 1925 Kharkiv,Veres Rivne,1,4,5,['81'],"['10', '47', '69', '90']",2.7,3.05,2.35,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ukraine Ukrainian Premier League,2022/2023,2022-11-06 08:00:00,11,Dnipro-1,Minai,3,1,4,"['67', '68', '76']",['64'],1.26,4.8,8.32,1.65,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-06 10:00:00,11,Rukh Vynnyky,Hirnyk,2,1,3,"['53', '57']",['48'],2.16,3.04,3.04,1.95,1.78,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-06 10:00:00,11,Chornomorets,Dynamo Kyiv,0,3,3,[],"['25', '48', '90+2']",8.3,4.56,1.28,1.8,2.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-08 08:00:00,12,Metal Kharkiv,Metalist 1925 Kharkiv,0,0,0,[],[],1.78,3.6,3.84,1.83,1.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-08 08:00:00,12,Inhulets,Zorya,1,0,1,['44'],[],5.08,3.52,1.56,1.87,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-09 08:00:00,12,Kolos Kovalivka,Dnipro-1,1,3,4,['31'],"['5', '36', '77']",4.6,3.7,1.63,2.04,1.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-09 08:00:00,12,Hirnyk,Vorskla,1,0,1,['49'],[],3.15,3.25,2.12,2.03,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-09 10:30:00,12,Veres Rivne,Shakhtar Donetsk,0,2,2,[],"['30', '65']",8.0,5.0,1.29,1.7,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-10 08:00:00,12,Lviv,Rukh Vynnyky,2,1,3,"['10', '31']",['49'],2.63,3.1,2.55,1.98,1.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-10 08:00:00,12,Minai,Chornomorets,0,1,1,[],['5'],2.45,3.1,2.7,2.12,2.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-10 10:00:00,12,Dynamo Kyiv,Oleksandria,3,1,4,"['10', '73', '88']",['90+1'],1.52,4.1,5.2,1.85,1.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-13 09:20:00,13,Vorskla,Dnipro-1,1,1,2,['67'],['24'],3.15,3.25,2.01,1.7,1.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-13 09:35:00,13,Oleksandria,Veres Rivne,3,2,5,"['18', '79', '90+7']","['33', '90+1']",1.7,3.4,4.5,1.95,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-13 10:00:00,13,Metalist 1925 Kharkiv,Inhulets,2,1,3,"['40', '78']",['23'],2.53,3.0,2.53,2.0,1.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-13 10:00:00,13,Shakhtar Donetsk,Zorya,2,2,4,"['13', '63']","['45', '46']",1.33,4.5,6.8,1.72,1.72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-13 10:00:00,13,Dynamo Kyiv,Kolos Kovalivka,0,0,0,[],[],1.36,4.75,6.5,1.67,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-14 08:00:00,13,Metal Kharkiv,Hirnyk,0,1,1,[],['73'],2.34,3.15,2.66,2.01,1.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-14 09:00:00,13,Chornomorets,Lviv,2,0,2,"['67', '80']",[],1.98,3.2,3.4,2.04,1.78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-14 10:00:00,13,Rukh Vynnyky,Minai,1,1,2,['23'],['63'],1.98,3.2,3.3,2.19,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-17 08:00:00,1,Inhulets,Dynamo Kyiv,1,2,3,['62'],"['32', '45+1']",8.5,5.5,1.3,1.62,2.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-18 08:00:00,14,Zorya,Oleksandria,4,1,5,"['62', '68', '70', '75']",['78'],2.09,3.24,2.99,1.84,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-19 08:00:00,14,Dnipro-1,Shakhtar Donetsk,2,1,3,"['21', '53']",['17'],3.1,3.45,1.97,1.68,1.63,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-19 09:00:00,14,Kolos Kovalivka,Vorskla,1,2,3,['65'],"['31', '80']",2.9,2.98,2.27,2.01,1.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-20 07:00:00,14,Minai,Metal Kharkiv,1,0,1,['86'],[],2.65,2.92,2.5,2.06,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-20 09:00:00,14,Hirnyk,Metalist 1925 Kharkiv,0,2,2,[],"['8', '44']",2.25,3.1,3.0,2.1,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-21 07:00:00,14,Inhulets,Lviv,1,0,1,['45'],[],2.52,3.05,2.66,2.14,1.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-21 09:00:00,14,Veres Rivne,Dynamo Kyiv,0,1,1,[],['27'],7.0,4.45,1.33,1.63,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-11-23 11:00:00,15,Shakhtar Donetsk,Vorskla,3,2,5,"['27', '48', '85']","['61', '75']",1.45,4.6,7.1,1.62,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
