Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
74,1416059,Australia A-League,2021/2022,2022-02-23 05:55:00,6,Newcastle Jets FC,Western Sydney Wanderers,1,0,1,['61'],[],2.38,3.71,2.78,1.7,2.05,1.57,2.38
75,1444020,Australia A-League,2021/2022,2022-02-26 03:05:00,16,Newcastle Jets FC,Macarthur,2,2,4,"['33', '79']","['21', '60']",2.23,3.4,2.85,1.73,2.1,1.62,2.2
76,1444021,Australia A-League,2021/2022,2022-02-26 05:45:00,16,Sydney FC,Melbourne City FC,1,2,3,['53'],"['32', '90+1']",2.96,3.72,2.26,1.72,2.05,1.62,2.2
77,1444022,Australia A-League,2021/2022,2022-02-26 05:45:00,16,Adelaide United,Central Coast Mariners,2,1,3,"['52', '90+2']",['35'],2.06,3.68,3.42,1.74,2.02,1.62,2.2
78,1444023,Australia A-League,2021/2022,2022-02-27 04:45:00,16,Perth Glory FC,Western United,0,2,2,[],"['37', '56']",2.75,3.25,2.4,1.86,1.91,1.67,2.1
79,1444005,Australia A-League,2021/2022,2022-03-02 05:05:00,13,Melbourne City FC,Perth Glory FC,2,2,4,"['8', '29']","['31', '56']",1.21,5.3,9.0,1.49,2.51,1.8,1.91
80,1444025,Australia A-League,2021/2022,2022-03-04 05:45:00,17,Melbourne Victory FC,Macarthur,3,1,4,"['20', '45+2', '58']",['90'],2.08,3.35,3.1,1.72,2.0,1.63,2.2
81,1444026,Australia A-League,2021/2022,2022-03-05 01:05:00,17,Western United,Newcastle Jets FC,2,1,3,"['16', '52']",['81'],1.89,3.8,3.88,1.67,2.15,1.7,2.05
82,1444027,Australia A-League,2021/2022,2022-03-05 03:05:00,17,Central Coast Mariners,Brisbane Roar,2,1,3,"['49', '55']",['69'],2.26,3.58,3.05,1.8,1.95,1.68,2.15
83,1444028,Australia A-League,2021/2022,2022-03-05 05:45:00,17,Western Sydney Wanderers,Sydney FC,2,0,2,"['37', '52']",[],2.81,3.59,2.4,1.8,2.0,1.66,2.2
